Template,Q,QNER,QNE,QURI,RP,ANE,AURI
<ENT> در چه شهری قرار دارد ؟, دوستک در چه شهری قرار دارد ؟,"[('دوستک', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",دوستک,['http://fkg.iust.ac.ir/resource/دوستک'],ns0__location_&_ns0__district_&_ns0__part,"['شهرستان اشنویه', 'بخش مرکزی شهرستان اشنویه']","['http://fkg.iust.ac.ir/resource/شهرستان_اشنویه', 'http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_اشنویه']"
چه کسی در <ENT> نقش اول را داشته است؟,چه کسی در بیکرهای شگفت‌انگیز نقش اول را داشته است؟,"[('چه', 'O'), ('کسی', 'O'), ('در', 'O'), ('بیکرهای', 'B_ent'), ('شگفت\u200cانگیز', 'I_ent'), ('نقش', 'O'), ('اول', 'O'), ('را', 'O'), ('داشته', 'O'), ('است؟', 'O')]",بیکرهای شگفت‌انگیز,['http://fkg.iust.ac.ir/resource/بیکرهای_شگفت\u200cانگیز'],ns0__starring,"['بیوهانکز بریجز', 'جف بریجز', 'میشل فایفر']","['http://fkg.iust.ac.ir/resource/بیوهانکز_بریجز', 'http://fkg.iust.ac.ir/resource/جف_بریجز', 'http://fkg.iust.ac.ir/resource/میشل_فایفر']"
<ENT> در کجا دار فانی را وداع گفته است ؟, ندا طلیله در کجا دار فانی را وداع گفته است ؟,"[('ندا', 'B_ent'), ('طلیله', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('دار', 'O'), ('فانی', 'O'), ('را', 'O'), ('وداع', 'O'), ('گفته', 'O'), ('است', 'O'), ('؟', 'O')]",ندا طلیله,['http://fkg.iust.ac.ir/resource/ندا_طلیله'],ns0__deathPlace,['دمشق'],['http://fkg.iust.ac.ir/resource/دمشق']
ستاره معروف <ENT> کیست ؟,ستاره معروف گل‌مور کیست ؟,"[('ستاره', 'O'), ('معروف', 'O'), ('گل\u200cمور', 'B_ent'), ('کیست', 'O'), ('؟', 'O')]",گل‌مور,['http://fkg.iust.ac.ir/resource/گل\u200cمور_(فیلم_۲۰۰۹)'],ns0__starring,"['سونالی کولکارنی', 'Jitendra Joshi', 'Girija Oak', 'راجیت کاپور', 'Mohan Agashe']","['http://fkg.iust.ac.ir/resource/سونالی_کولکارنی', 'http://fkg.iust.ac.ir/resource/Jitendra_Joshi', 'http://fkg.iust.ac.ir/resource/Girija_Oak', 'http://fkg.iust.ac.ir/resource/راجیت_کاپور', 'http://fkg.iust.ac.ir/resource/Mohan_Agashe']"
<ENT> از توابع کدام شهر است ؟, ثوامر از توابع کدام شهر است ؟,"[('ثوامر', 'B_ent'), ('از', 'O'), ('توابع', 'O'), ('کدام', 'O'), ('شهر', 'O'), ('است', 'O'), ('؟', 'O')]",ثوامر,['http://fkg.iust.ac.ir/resource/ثوامر'],ns0__village,['شهرستان آبادان'],['http://fkg.iust.ac.ir/resource/شهرستان_آبادان']
<ENT> در چه منطقه ای است ؟, ویلاشهر در چه منطقه ای است ؟,"[('ویلاشهر', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",ویلاشهر,['http://fkg.iust.ac.ir/resource/ویلاشهر'],ns0__location_&_ns0__district_&_ns0__part,"['بخش مرکزی شهرستان نوشهر', 'استان مازندران']","['http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_نوشهر', 'http://fkg.iust.ac.ir/resource/استان_مازندران']"
<ENT> در کجا به دنیا امده است؟, آندرین مورین در کجا به دنیا امده است؟,"[('آندرین', 'B_ent'), ('مورین', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('به', 'O'), ('دنیا', 'O'), ('امده', 'O'), ('است؟', 'O')]",آندرین مورین,['http://fkg.iust.ac.ir/resource/آندرین_مورین'],ns0__birthPlace,"['کبک  شهر', 'استان کبک']","['http://fkg.iust.ac.ir/resource/کبک_(شهر)', 'http://fkg.iust.ac.ir/resource/استان_کبک']"
<ENT> در چه منطقه ای است ؟, ویسمرید در چه منطقه ای است ؟,"[('ویسمرید', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",ویسمرید,['http://fkg.iust.ac.ir/resource/ویسمرید'],ns0__location_&_ns0__district_&_ns0__part,"['شهرستان بیجار', 'بخش مرکزی شهرستان بیجار']","['http://fkg.iust.ac.ir/resource/شهرستان_بیجار', 'http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_بیجار']"
<ENT> تابعیت چه کشوری را دارد؟, نیکولا میتوریچ تابعیت چه کشوری را دارد؟,"[('نیکولا', 'B_ent'), ('میتوریچ', 'I_ent'), ('تابعیت', 'O'), ('چه', 'O'), ('کشوری', 'O'), ('را', 'O'), ('دارد؟', 'O')]",نیکولا میتوریچ,['http://fkg.iust.ac.ir/resource/نیکولا_میتوریچ'],ns0__citizenship,['اسپانیا'],['http://fkg.iust.ac.ir/resource/اسپانیا']
چه کسی در <ENT> نقش اول را داشته است؟,چه کسی در دن آرام نقش اول را داشته است؟,"[('چه', 'O'), ('کسی', 'O'), ('در', 'O'), ('دن', 'B_ent'), ('آرام', 'I_ent'), ('نقش', 'O'), ('اول', 'O'), ('را', 'O'), ('داشته', 'O'), ('است؟', 'O')]",دن آرام,['http://fkg.iust.ac.ir/resource/دن_آرام_(فیلم)'],ns0__starring,"['Pyotr Glebov', 'نیکولای کوتوزف', 'الینا بیستریتسکایا']","['http://fkg.iust.ac.ir/resource/Pyotr_Glebov', 'http://fkg.iust.ac.ir/resource/نیکولای_کوتوزف', 'http://fkg.iust.ac.ir/resource/الینا_بیستریتسکایا']"
<ENT> در چه منطقه ای است ؟, چلیکدان در چه منطقه ای است ؟,"[('چلیکدان', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",چلیکدان,['http://fkg.iust.ac.ir/resource/چلیکدان'],ns0__location_&_ns0__district_&_ns0__part,"['شهرستان رشت', 'بخش لشت نشا']","['http://fkg.iust.ac.ir/resource/شهرستان_رشت', 'http://fkg.iust.ac.ir/resource/بخش_لشت_نشا']"
<ENT> به کدام تیره تعلق دارد؟, شهدخوار ریزه به کدام تیره تعلق دارد؟,"[('شهدخوار', 'B_ent'), ('ریزه', 'I_ent'), ('به', 'O'), ('کدام', 'O'), ('تیره', 'O'), ('تعلق', 'O'), ('دارد؟', 'O')]",شهدخوار ریزه,['http://fkg.iust.ac.ir/resource/شهدخوار_ریزه'],ns0__order_&_ns0__family_&_ns0__genus,"['گنجشک سانان', 'شهدخواران', 'ریزه شهدخوارها']","['http://fkg.iust.ac.ir/resource/گنجشک\u200cسانان', 'http://fkg.iust.ac.ir/resource/شهدخواران', 'http://fkg.iust.ac.ir/resource/ریزه\u200cشهدخوارها']"
<ENT> در کجا به دنیا امده است؟, ریچارد ئی. پارکر در کجا به دنیا امده است؟,"[('ریچارد', 'B_ent'), ('ئی.', 'I_ent'), ('پارکر', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('به', 'O'), ('دنیا', 'O'), ('امده', 'O'), ('است؟', 'O')]",ریچارد ئی. پارکر,['http://fkg.iust.ac.ir/resource/ریچارد_ئی._پارکر'],ns0__birthPlace,"['ویرجینیا', 'شهرستان وستمورلند  ویرجینیا']","['http://fkg.iust.ac.ir/resource/ویرجینیا', 'http://fkg.iust.ac.ir/resource/شهرستان_وستمورلند،_ویرجینیا']"
<ENT> در کجا دار فانی را وداع گفته است ؟, آرمن تیگرانیان در کجا دار فانی را وداع گفته است ؟,"[('آرمن', 'B_ent'), ('تیگرانیان', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('دار', 'O'), ('فانی', 'O'), ('را', 'O'), ('وداع', 'O'), ('گفته', 'O'), ('است', 'O'), ('؟', 'O')]",آرمن تیگرانیان,['http://fkg.iust.ac.ir/resource/آرمن_تیگرانیان'],ns0__deathPlace,['تفلیس'],['http://fkg.iust.ac.ir/resource/تفلیس']
<ENT> در چه منطقه ای است ؟, تین در چه منطقه ای است ؟,"[('تین', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",تین,"['http://fkg.iust.ac.ir/resource/تین_(پاوه)', 'http://fkg.iust.ac.ir/resource/تین']",ns0__location_&_ns0__district_&_ns0__part,"['بخش باینگان', 'استان کرمانشاه', 'شهرستان اهر']","['http://fkg.iust.ac.ir/resource/بخش_باینگان', 'http://fkg.iust.ac.ir/resource/استان_کرمانشاه', 'http://fkg.iust.ac.ir/resource/شهرستان_اهر']"
<ENT> کجا ساکن است؟, آرمان هال کجا ساکن است؟,"[('آرمان', 'B_ent'), ('هال', 'I_ent'), ('کجا', 'O'), ('ساکن', 'O'), ('است؟', 'O')]",آرمان هال,['http://fkg.iust.ac.ir/resource/آرمان_هال'],ns0__residence,['گینزویل  فلوریدا'],['http://fkg.iust.ac.ir/resource/گینزویل،_فلوریدا']
<ENT> در چه راسته ای قرار دارد ؟, کبوتر آبی موریس در چه راسته ای قرار دارد ؟,"[('کبوتر', 'B_ent'), ('آبی', 'I_ent'), ('موریس', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('راسته', 'O'), ('ای', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",کبوتر آبی موریس,['http://fkg.iust.ac.ir/resource/کبوتر_آبی_موریس'],ns0__order_&_ns0__family_&_ns0__genus,"['کبوتر', 'کبوتر']","['http://fkg.iust.ac.ir/resource/کبوتر', 'http://fkg.iust.ac.ir/resource/کبوتر']"
ژانر <ENT> چیست ؟,ژانر استیون سورین چیست ؟,"[('ژانر', 'O'), ('استیون', 'B_ent'), ('سورین', 'I_ent'), ('چیست', 'O'), ('؟', 'O')]",استیون سورین,['http://fkg.iust.ac.ir/resource/استیون_سورین'],ns0__genre,"['موسیقی موج نو', 'آلترنتیو راک', 'پست پانک', 'گوتیک راک']","['http://fkg.iust.ac.ir/resource/موسیقی_موج_نو', 'http://fkg.iust.ac.ir/resource/آلترنتیو_راک', 'http://fkg.iust.ac.ir/resource/پست-پانک', 'http://fkg.iust.ac.ir/resource/گوتیک_راک']"
<ENT> در کجا متولد شد ؟, آندرس د سگورولا در کجا متولد شد ؟,"[('آندرس', 'B_ent'), ('د', 'I_ent'), ('سگورولا', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('متولد', 'O'), ('شد', 'O'), ('؟', 'O')]",آندرس د سگورولا,['http://fkg.iust.ac.ir/resource/آندرس_د_سگورولا'],ns0__birthPlace,"['اسپانیا', 'والنسیا']","['http://fkg.iust.ac.ir/resource/اسپانیا', 'http://fkg.iust.ac.ir/resource/والنسیا']"
<ENT> در چه شهری قرار دارد ؟, خلشا در چه شهری قرار دارد ؟,"[('خلشا', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",خلشا,['http://fkg.iust.ac.ir/resource/خلشا'],ns0__location_&_ns0__district_&_ns0__part,"['بخش مرکزی شهرستان آستانه اشرفیه', 'شهرستان آستانه اشرفیه']","['http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_آستانه_اشرفیه', 'http://fkg.iust.ac.ir/resource/شهرستان_آستانه_اشرفیه']"
ستاره معروف <ENT> کیست ؟,ستاره معروف آرلیس کیست ؟,"[('ستاره', 'O'), ('معروف', 'O'), ('آرلیس', 'B_ent'), ('کیست', 'O'), ('؟', 'O')]",آرلیس,['http://fkg.iust.ac.ir/resource/آرلیس'],ns0__starring,"['سینتیا سایکس', 'مایکل بوتمن', 'ساندرا اوه', 'رابرت وول', 'Jim Turner  comedian']","['http://fkg.iust.ac.ir/resource/سینتیا_سایکس', 'http://fkg.iust.ac.ir/resource/مایکل_بوتمن', 'http://fkg.iust.ac.ir/resource/ساندرا_اوه', 'http://fkg.iust.ac.ir/resource/رابرت_وول', 'http://fkg.iust.ac.ir/resource/Jim_Turner_(comedian)']"
چه کسی در <ENT> نقش اول را داشته است؟,چه کسی در بی‌رحم نقش اول را داشته است؟,"[('چه', 'O'), ('کسی', 'O'), ('در', 'O'), ('بی\u200cرحم', 'B_ent'), ('نقش', 'O'), ('اول', 'O'), ('را', 'O'), ('داشته', 'O'), ('است؟', 'O')]",بی‌رحم,['http://fkg.iust.ac.ir/resource/بی\u200cرحم_(فیلم)'],ns0__starring,"['ریچارد گی یر', 'کیم بسینگر']","['http://fkg.iust.ac.ir/resource/ریچارد_گی\u200cیر', 'http://fkg.iust.ac.ir/resource/کیم_بسینگر']"
چه کسی  <ENT> را ساخته است ؟,چه کسی اسکار و لوسیندا را ساخته است ؟,"[('چه', 'O'), ('کسی', 'O'), ('اسکار', 'B_ent'), ('و', 'I_ent'), ('لوسیندا', 'I_ent'), ('را', 'O'), ('ساخته', 'O'), ('است', 'O'), ('؟', 'O')]",اسکار و لوسیندا,['http://fkg.iust.ac.ir/resource/اسکار_و_لوسیندا_(فیلم)'],ns0__director,['گیلیان آرمسترانگ'],['http://fkg.iust.ac.ir/resource/گیلیان_آرمسترانگ']
<ENT> در کجا متولد شد ؟, اسفندیار رحیم مشایی در کجا متولد شد ؟,"[('اسفندیار', 'B_ent'), ('رحیم', 'I_ent'), ('مشایی', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('متولد', 'O'), ('شد', 'O'), ('؟', 'O')]",اسفندیار رحیم مشایی,['http://fkg.iust.ac.ir/resource/اسفندیار_رحیم_مشایی'],ns0__birthPlace,"['ایران', 'مشاکلایه', 'مازندران', 'رامسر']","['http://fkg.iust.ac.ir/resource/ایران', 'http://fkg.iust.ac.ir/resource/مشاکلایه', 'http://fkg.iust.ac.ir/resource/مازندران', 'http://fkg.iust.ac.ir/resource/رامسر']"
<ENT> در چه شهری قرار دارد ؟, دوشمیان در چه شهری قرار دارد ؟,"[('دوشمیان', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",دوشمیان,['http://fkg.iust.ac.ir/resource/دوشمیان'],ns0__location_&_ns0__district_&_ns0__part,"['بخش گهواره', 'شهرستان دالاهو']","['http://fkg.iust.ac.ir/resource/بخش_گهواره', 'http://fkg.iust.ac.ir/resource/شهرستان_دالاهو']"
<ENT> در کجا متولد شد ؟, آرکادیوس در کجا متولد شد ؟,"[('آرکادیوس', 'B_ent'), ('در', 'O'), ('کجا', 'O'), ('متولد', 'O'), ('شد', 'O'), ('؟', 'O')]",آرکادیوس,['http://fkg.iust.ac.ir/resource/آرکادیوس'],ns0__birthPlace,['اسپانیا'],['http://fkg.iust.ac.ir/resource/اسپانیا']
<ENT> در چه منطقه ای است ؟‌, آریک ایر در چه منطقه ای است ؟‌,"[('آریک', 'B_ent'), ('ایر', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟\u200c', 'O')]",آریک ایر,['http://fkg.iust.ac.ir/resource/آریک_ایر'],ns0__location_&_ns0__district_&_ns0__part,"['نیجریه', 'لاگوس']","['http://fkg.iust.ac.ir/resource/نیجریه', 'http://fkg.iust.ac.ir/resource/لاگوس']"
<ENT> در کجا متولد شد ؟, آدولف گوتلیب در کجا متولد شد ؟,"[('آدولف', 'B_ent'), ('گوتلیب', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('متولد', 'O'), ('شد', 'O'), ('؟', 'O')]",آدولف گوتلیب,['http://fkg.iust.ac.ir/resource/آدولف_گوتلیب'],ns0__birthPlace,['نیویورک'],['http://fkg.iust.ac.ir/resource/نیویورک']
<ENT> در کجا قرار دارد ؟, بیشچاد ناتیونال پارک در کجا قرار دارد ؟,"[('بیشچاد', 'B_ent'), ('ناتیونال', 'I_ent'), ('پارک', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",بیشچاد ناتیونال پارک,['http://fkg.iust.ac.ir/resource/بیشچاد_ناتیونال_پارک'],ns0__location_&_ns0__district_&_ns0__part,"['استان پودکارپاتسکیه', 'لهستان']","['http://fkg.iust.ac.ir/resource/استان_پودکارپاتسکیه', 'http://fkg.iust.ac.ir/resource/لهستان']"
<ENT> از چه گروهی است ؟, استرپتوکوک راتی از چه گروهی است ؟,"[('استرپتوکوک', 'B_ent'), ('راتی', 'I_ent'), ('از', 'O'), ('چه', 'O'), ('گروهی', 'O'), ('است', 'O'), ('؟', 'O')]",استرپتوکوک راتی,['http://fkg.iust.ac.ir/resource/استرپتوکوک_راتی'],ns0__order_&_ns0__family_&_ns0__genus,"['لاکتوباسیلالس', 'استرپتوکوکاسیه', 'استرپتوکوک']","['http://fkg.iust.ac.ir/resource/لاکتوباسیلالس', 'http://fkg.iust.ac.ir/resource/استرپتوکوکاسیه', 'http://fkg.iust.ac.ir/resource/استرپتوکوک']"
<ENT> در چه منطقه ای است ؟‌, کلیسای حواریون، آنی در چه منطقه ای است ؟‌,"[('کلیسای', 'B_ent'), ('حواریون،', 'I_ent'), ('آنی', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟\u200c', 'O')]",کلیسای حواریون، آنی,['http://fkg.iust.ac.ir/resource/کلیسای_حواریون،_آنی'],ns0__location_&_ns0__district_&_ns0__part,"['ترکیه', 'استان قارص', 'آنی  شهر باستانی']","['http://fkg.iust.ac.ir/resource/ترکیه', 'http://fkg.iust.ac.ir/resource/استان_قارص', 'http://fkg.iust.ac.ir/resource/آنی_(شهر_باستانی)']"
<ENT> در چه شهری قرار دارد ؟, دوبند در چه شهری قرار دارد ؟,"[('دوبند', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",دوبند,['http://fkg.iust.ac.ir/resource/دوبند'],ns0__location_&_ns0__district_&_ns0__part,"['شهرستان باغ ملک', 'بخش صیدون']","['http://fkg.iust.ac.ir/resource/شهرستان_باغ\u200cملک', 'http://fkg.iust.ac.ir/resource/بخش_صیدون']"
<ENT> ازکجا مدیریت می شود ؟, اس‌ان‌ای‌اس اوییشن ازکجا مدیریت می شود ؟,"[('اس\u200cان\u200cای\u200cاس', 'B_ent'), ('اوییشن', 'I_ent'), ('ازکجا', 'O'), ('مدیریت', 'O'), ('می', 'O'), ('شود', 'O'), ('؟', 'O')]",اس‌ان‌ای‌اس اوییشن,['http://fkg.iust.ac.ir/resource/اس\u200cان\u200cای\u200cاس_اوییشن'],ns0__headquarter,"['عربستان سعودی', 'ریاض']","['http://fkg.iust.ac.ir/resource/عربستان_سعودی', 'http://fkg.iust.ac.ir/resource/ریاض']"
<ENT> در کجا متولد شد ؟, رامون ماتیس در کجا متولد شد ؟,"[('رامون', 'B_ent'), ('ماتیس', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('متولد', 'O'), ('شد', 'O'), ('؟', 'O')]",رامون ماتیس,['http://fkg.iust.ac.ir/resource/رامون_ماتیس'],ns0__birthPlace,"['آرژانتین', 'بوئنوس آیرس']","['http://fkg.iust.ac.ir/resource/آرژانتین', 'http://fkg.iust.ac.ir/resource/بوئنوس_آیرس']"
